original_name,qs_canonical_name,similarity_score
University Of ArizonaTucson,The University of Arizona,76.92307692307692
University Of South Arizona,The University of Arizona,76.92307692307692
University Of Arizona Optics,The University of Arizona,74.07407407407408
University Of Arizona Tuscan,The University of Arizona,74.07407407407408
The University Of Auckland,The University of Auckland,100.0
Auckland University,The University of Auckland,84.21052631578947
Oakland University,The University of Auckland,77.77777777777779
Edinburgh University,The University of Edinburgh,85.71428571428572
Exeter University,The University of Exeter,80.0
(UGA) University Of Georgia,The University of Georgia,83.33333333333334
The University Of Georgia (UGA),The University of Georgia,83.33333333333334
University Of Georgia Uga,The University of Georgia,83.33333333333334
U Of Georgia(UGA),The University of Georgia,80.0
University Of Georgia (Eller),The University of Georgia,76.92307692307692
University Of Georgia-Athens,The University of Georgia,74.07407407407408
The University Of Hong Kong,The University of Hong Kong,100.0
Hong Kong University,The University of Hong Kong,85.71428571428572
University Of Hong Kong (HKU),The University of Hong Kong,85.71428571428572
Manchester University,The University of Manchester,86.95652173913044
University Of Winchester,The University of Manchester,84.61538461538461
The University Of Melbourne,The University of Melbourne,100.0
University Of Melbourne,The University of Melbourne,100.0
The University Of New South Wales,The University of New South Wales (UNSW Sydney),75.0
University Of New South Wales,The University of New South Wales (UNSW Sydney),75.0
The University Of Sheffield,The University of Sheffield,100.0
Sheffield University,The University of Sheffield,85.71428571428572
THE UNIVERSITY OF SYDNEY,The University of Sydney,100.0
University Of Sydney,The University of Sydney,100.0
University Of Tennesse Knoxville,"The University of Tennessee, Knoxville",97.67441860465115
University Of Tenn- Knoxville,"The University of Tennessee, Knoxville",85.0
Univerity Of Tennessee-Knoxville,"The University of Tennessee, Knoxville",77.77777777777779
"University Of Tennessee--Knoxville Knoxville, TN","The University of Tennessee, Knoxville",75.86206896551724
University Of Tennessee (UTK),"The University of Tennessee, Knoxville",73.6842105263158
University Of Texas Arlington,The University of Texas at Arlington,92.3076923076923
Univerity Of Texas Arlington,The University of Texas at Arlington,73.46938775510203
University Of Tokyo,The University of Tokyo,100.0
Warwick University,The University of Warwick,82.35294117647058
University Of Western Australia,The University of Western Australia,100.0
Tilbur University,Tilburg University,92.3076923076923
Tsinghua University,Tsinghua University,100.0
Tufts,Tufts University,100.0
Tulane,Tulane University,100.0
Tulune University,Tulane University,83.33333333333334
UCL,UCL,100.0
UCCS,UCSI University,75.0
Carlos III Madrid UC3M,Universidad Carlos III de Madrid (UC3M),74.57627118644068
Universidad Carlos III,Universidad Carlos III de Madrid (UC3M),74.57627118644068
Universidad Central Del Caribe,Universidad Central del Ecuador,88.52459016393442
Universidad De San Andrs,Universidad de San Andrés - UdeSA,84.21052631578947
Universidade Federal De Minas Gerais,Universidade Federal de Minas Gerais      ,100.0
Federal University Of Rio De Janeiro,Universidade Federal do Rio de Janeiro,76.19047619047619
Universitat Politecnica De Catalunya,Universitat Politècnica de Catalunya · BarcelonaTech (UPC),77.77777777777779
Universitat Pompeu Fabra,Universitat Pompeu Fabra (Barcelona),82.75862068965517
Universitat Autonoma De Barcelona,Universitat de Barcelona,84.21052631578947
ULM,University Ulm,100.0
"University Of Albany, SUNY",University at Albany SUNY,85.71428571428572
University At Albany (SUNY Albany),University at Albany SUNY,80.0
University Of Albany (SUNY Albany),University at Albany SUNY,74.28571428571429
"Univ. At Buffalo, SUNY",University at Buffalo SUNY,100.0
SUNY Buffalo,University at Buffalo SUNY,88.88888888888889
SUNY University Of Buffalo,University at Buffalo SUNY,80.0
University At Buffalo,University at Buffalo SUNY,80.0
University At Buffalo (SUNY-Buffalo),University at Buffalo SUNY,78.94736842105263
SUNY Buffalo- University At Buffalo,University at Buffalo SUNY,76.92307692307692
University Of Aberdeen,University of Aberdeen,100.0
Univ. Alabama-Birmingham,"University of Alabama, Birmingham",87.17948717948718
Alabama At Birmingham Uab,"University of Alabama, Birmingham",82.6086956521739
University Of Alaska Fairbank,University of Alaska Fairbanks,97.2972972972973
Uni Of Alberta,University of Alberta,83.33333333333334
Ualberta,University of Alberta,77.77777777777779
University Of Alberta (U Of A),University of Alberta,74.07407407407408
University Of Amsterdam,University of Amsterdam,100.0
VU University Amsterdam,University of Amsterdam,83.33333333333334
University Of Anywhere,University of Antwerp,76.19047619047619
University Of Arkansas Fayetville,University of Arkansas Fayetteville ,95.65217391304348
University Of Arkansas Lafayette,University of Arkansas Fayetteville ,84.44444444444444
"Unuversity Of Arkansas , Fayetteville",University of Arkansas Fayetteville ,81.35593220338984
Birmingham University,University of Birmingham,86.95652173913044
Bristol University,University of Bristol,82.35294117647058
"University Of Bristol, BCFN",University of Bristol,80.0
University Of British Colombia,University of British Columbia,94.73684210526316
Calgary University,University of Calgary,82.35294117647058
University Of California - Berkely (UCB),"University of California, Berkeley (UCB)",94.33962264150944
University Of Berkeley: California,"University of California, Berkeley (UCB)",91.66666666666666
University Of California Berkeley (UCB)keley,"University of California, Berkeley (UCB)",91.22807017543859
University Of California Berkley,"University of California, Berkeley (UCB)",89.36170212765957
University California Berkeley,"University of California, Berkeley (UCB)",84.44444444444444
"University Of California, Berkeley - GSPP","University of California, Berkeley (UCB)",83.63636363636364
"University Of California, Berkeley-San Fran","University of California, Berkeley (UCB)",80.70175438596492
University Of California Berkeley - Goldman,"University of California, Berkeley (UCB)",79.3103448275862
University Of California Berkeley School Of Public Health,"University of California, Berkeley (UCB)",76.92307692307692
University Of California Berkeley/San Francisco (UCB/UCSF),"University of California, Berkeley (UCB)",75.36231884057972
University Of California Merced,"University of California, Berkeley (UCB)",73.91304347826086
University Of California Berkeley Haas School Of Business,"University of California, Berkeley (UCB)",73.84615384615385
"University Of California, Berkeley, School Of Information","University of California, Berkeley (UCB)",73.01587301587303
University Of California Davs,"University of California, Davis",97.2972972972973
University California Davis,"University of California, Davis",91.42857142857143
"University Of California, Hastings","University of California, Davis",82.92682926829268
"Unversity Of California, Davis","University of California, Davis",79.16666666666666
"Merced, University Of California","University of California, Davis",76.92307692307692
University Of California San Marcos,"University of California, Davis",74.4186046511628
Univ California Irvine,"University of California, Irvine",91.89189189189189
University Of California-Irvine (UCI),"University of California, Irvine",86.36363636363636
University Of California Irvine UC Irvine,"University of California, Irvine",80.0
"University Of California Irvine, Tri-Campus","University of California, Irvine",78.43137254901961
University Of California Irvine Paul Merage,"University of California, Irvine",76.92307692307692
University Of Los Angeles California,"University of California, Los Angeles (UCLA)",90.9090909090909
University Of CaliforniaLos Angeles,"University of California, Los Angeles (UCLA)",88.88888888888889
University California Los Angeles,"University of California, Los Angeles (UCLA)",84.61538461538461
University Of California At Los Angeles - Luskin,"University of California, Los Angeles (UCLA)",80.59701492537313
University Of California--Riverside,"University of California, Riverside",93.61702127659575
California Riverside University (UCR),"University of California, Riverside",85.1063829787234
University Of California Riverside (1100100281),"University of California, Riverside",80.70175438596492
University Of California Riverside (UCR) Palm Desert,"University of California, Riverside",74.19354838709677
"University Of California, San Diego School (UCSD)","University of California, San Diego (UCSD)",100.0
University California San Diego,"University of California, San Diego (UCSD)",83.33333333333334
"University Of California, San Diego (UCSD) Rady School Of Management","University of California, San Diego (UCSD)",74.66666666666666
"California, Santa Barbara (UCSB)","University of California, Santa Barbara (UCSB)",95.08196721311475
University Of California Santa Barbara; Bren School,"University of California, Santa Barbara (UCSB)",90.625
"University Of California, Santa Babs","University of California, Santa Barbara (UCSB)",85.71428571428572
Uuniversity Of California Santa Barbara,"University of California, Santa Barbara (UCSB)",84.50704225352112
"University Of California, Santa Barbara (UCSB)on College Lynch School Of Education","University of California, Santa Barbara (UCSB)",75.29411764705883
University Of California At Santa Barbara (UCSB) Street College Of Education,"University of California, Santa Barbara (UCSB)",73.5632183908046
University Of California Santa Cruz,"University of California, Santa Cruz",100.0
